READ SERR 1
@_compps_qdp_tmp.pco
!
3.6099999 2.07806006E-2 1.83734823E-8
3.65180182 2.10212283E-2 1.8090125E-8
3.69408774 2.12646425E-2 1.78110611E-8
3.73686314 2.15108767E-2 1.75362249E-8
3.78013396 2.17599608E-2 1.72655561E-8
3.82390594 2.20119283E-2 1.69989907E-8
3.86818457 2.22668145E-2 1.67364682E-8
3.91297603 2.2524653E-2 1.64779301E-8
3.95828629 2.27854755E-2 1.62233142E-8
4.00412083 2.30493192E-2 1.59725619E-8
4.05048656 2.33162176E-2 1.57256199E-8
4.09738922 2.35862061E-2 1.5482426E-8
4.14483452 2.38593221E-2 1.52429269E-8
4.19282961 2.41355989E-2 1.5007064E-8
4.24138021 2.44150776E-2 1.47747841E-8
4.29049301 2.46977899E-2 1.4546031E-8
4.34017467 2.49837767E-2 1.43207517E-8
4.3904314 2.52730753E-2 1.40988927E-8
4.44127035 2.55657248E-2 1.38804026E-8
4.49269772 2.58617606E-2 1.36652298E-8
4.54472065 2.61612255E-2 1.34533247E-8
4.59734583 2.64641587E-2 1.32446365E-8
4.65058088 2.67705992E-2 1.30391165E-8
4.70443201 2.7080588E-2 1.28367166E-8
4.75890684 2.73941662E-2 1.26373898E-8
4.81401253 2.77113765E-2 1.24410899E-8
4.86975574 2.80322582E-2 1.22477699E-8
4.92614508 2.83568576E-2 1.20573853E-8
4.9831872 2.8685214E-2 1.18698917E-8
5.04088974 2.90173739E-2 1.16852448E-8
5.09926033 2.93533783E-2 1.15034018E-8
5.15830708 2.96932738E-2 1.13243201E-8
5.21803761 3.00371069E-2 1.11479581E-8
5.27845955 3.03849205E-2 1.09742748E-8
5.33958101 3.07367612E-2 1.08032294E-8
5.40141058 3.10926754E-2 1.06347828E-8
5.46395588 3.14527117E-2 1.04688951E-8
5.52722549 3.18169184E-2 1.03055289E-8
5.59122801 3.21853384E-2 1.01446442E-8
5.65597105 3.25580277E-2 9.98620564E-9
5.72146416 3.29350308E-2 9.83017578E-9
